Author,Title,Year,Category,Url,Citations
"Mazlack, Lawrence J.",Introducing Subprograms As the First Control Structure in an Introductory Course,1983,Teaching: aids examples tricks,http://doi.acm.org/10.1145/800038.801062,3
"Levine, Liz and Woolf, Beverly and Filoramo, Rich",Do I Press Return?,1984,Students: retention,http://doi.acm.org/10.1145/800039.808642,3
"Fox, Christopher and Lancaster, Ronald L.",Use of a Syntax Checker to Improve Student Access to Computing,1984,Tools: debugging and testing,http://doi.acm.org/10.1145/800039.808624,0
"McGlinn, Robert J. and Lewis, Linda","IPEX1, a Library of Dynamic Introductory Programming Examples",1985,Teaching: model problems and examples,http://doi.acm.org/10.1145/323287.323291,0
"Stokes, Gordon E. and Christensen, Larry C. and Hays, Bill",ELROND: A Computer Based Instruction System for an Introductory Programming Course,1985,Teaching: other,http://doi.acm.org/10.1145/323287.323293,2
"Tam, Wing C. and Erlinger, Michael A.",On the Teaching of Ada in an Undergraduate Computer Science Curriculum,1987,FLP: specific text-based languages,http://doi.acm.org/10.1145/31820.31734,4
"Wilson, Judith D.",A Socratic Approach to Helping Novice Programmers Debug Programs,1987,LA: learning: reading or writing or tracing or debugging or testing,http://doi.acm.org/10.1145/31820.31755,2
"Lukey, Trevor and Loose, Kenneth and Hill, David R.",Implementation of a Debugging Aid for Logic Errors in Pascal Programs,1987,Tools: debugging and testing,http://doi.acm.org/10.1145/31820.31792,2
"Means, H. Willis",A Content Analysis of Ten Introduction to Programming Textbooks,1988,Content: other: textbook choice,http://doi.acm.org/10.1145/52964.53035,1
"Pattis, Richard E.",Textbook Errors in Binary Searching,1988,Content: other: textbook choice,http://doi.acm.org/10.1145/52964.53012,4
"Deneen, Linda L. and Pierce, Keith R.",Development and Documentation of Computer Programs in Undergraduate Computer Science Programs,1988,Content: software engineering approaches,http://doi.acm.org/10.1145/52964.52970,3
"Koffman, Elliot B.",The Case for Modula-2 in CS1 and CS2,1988,FLP: specific text-based languages,http://doi.acm.org/10.1145/52964.52978,5
"Liss, Ivan B. and McMillan, Thomas C.",An Amazing Exercise in Recursion for CS1 and CS2,1988,Teaching: model problems and examples,http://doi.acm.org/10.1145/52964.53032,6
"Brown, Dale A.","Requiring CS1 Students to Write Requirements Specifications: A Rationale, Implementation Suggestions, and a Case Study",1988,Teaching: other: focus on documentation or requirements or specifications or design,http://doi.acm.org/10.1145/52964.52969,7
"Pratt, Terrence W.",Teaching Programming: A New Approach Based on Analysis Skills,1988,Teaching: other: problem solving first,http://doi.acm.org/10.1145/52964.53026,5
"Mitchell, William",What is to Become of Programming?,1989,DSA: dealing with ACM model curricula,http://doi.acm.org/10.1145/65293.65306,1
"Luker, P. A.","Never Mind the Language, What About the Paradigm?",1989,FLP: specific paradigms,http://doi.acm.org/10.1145/65293.71442,8
"Winslow, L. E. and Lang, J. E.",Ada in CS1,1989,FLP: specific text-based languages,http://doi.acm.org/10.1145/65293.71215,5
"Waguespack,Jr., Leslie J.",Visual Metaphors for Teaching Programming Concepts,1989,Teaching: aids examples tricks,http://doi.acm.org/10.1145/65293.71203,8
"Liss, Ivan B. and McMillan, Thomas C.","An Example Illustrating Modularity, Abstraction \&Amp; Information Hiding Using",1989,Teaching: model problems and examples,http://doi.acm.org/10.1145/65293.71195,1
"Schweitzer, Dino and Teel, Scott C.",AIDE: An Automated Tool for Teaching Design in an Introductory Programming Course,1989,Tools: other,http://doi.acm.org/10.1145/65293.71202,0
"Joyce, Daniel T.",A Virtual Lab to Accompany CS1 and CS2,1990,DSA PS: labs,http://doi.acm.org/10.1145/323410.319077,6
"Pratt, Terrence W.",Upgrading CS1: An Alternative to the Proposed COCS Survey Course,1990,DSA: dealing with ACM model curricula,http://doi.acm.org/10.1145/323410.319086,6
"Pattis, Richard E.",A Philosophy and Example of CS-1 Programming Projects,1990,Teaching: model problems and examples,http://doi.acm.org/10.1145/323410.319076,17
"Chavey, Darrah",A Structured Laboratory Component for the Introductory Programming Course,1991,DSA PS: labs,http://doi.acm.org/10.1145/107004.107067,10
"Katz, Elizabeth E. and Porter, Hayden S.",HyperTalk As an Overture to CS1,1991,FLP: specific text-based languages,http://doi.acm.org/10.1145/107004.107015,1
"Bailie, Frances K.",Improving the Modularization Ability of Novice Programmers,1991,Teaching: other: problem solving first,http://doi.acm.org/10.1145/107004.107065,1
"Alvarez Rubio, Juan",A First Computing Course Based on Curricula 1991,1992,DSA: dealing with ACM model curricula,http://doi.acm.org/10.1145/134510.134512,1
"Baldwin, Doug and Koomen, Johannes A. G. M.",Using Scientific Experiments in Early Computer Science Laboratories,1992,LA: assessment: authentic assessment,http://doi.acm.org/10.1145/134510.134532,22
"Tam, Wing C.",Teaching Loop Invariants to Beginners by Examples,1992,Teaching: aids examples tricks,http://doi.acm.org/10.1145/134510.134530,5
"Lang, Joseph E. and Smith, Barbara A.",Scheduled Supervised Laboratories in CS1: A Comparative Analysis,1993,DSA PS: labs,http://doi.acm.org/10.1145/169070.169397,5
"Fekete, Alan",Reasoning About Programs: Integrating Verification and Analysis of Algorithms into the Introductory Programming Course,1993,DSA: dealing with ACM model curricula,http://doi.acm.org/10.1145/169070.169410,2
"Dyck, V. Arnie",Emphasizing the Process in Delivering CS-1,1993,DSA: general,http://doi.acm.org/10.1145/169070.169363,0
"Decker, Rick and Hirshfield, Stuart",Top-down Teaching: Object-oriented Programming in CS 1,1993,FLP: specific paradigms,http://doi.acm.org/10.1145/169070.169495,13
"Reid, Richard J.",The Object Oriented Paradigm in CS 1,1993,FLP: specific paradigms,http://doi.acm.org/10.1145/169070.169491,12
"Pattis, Richard E.",The \&Ldquo;Procedures Early\&Rdquo; Approach in CS 1: A Heresy,1993,FLP: specific paradigms,http://doi.acm.org/10.1145/169070.169362,16
"Roberts, Eric S.",Using C in CS1: Evaluating the Stanford Experience,1993,FLP: specific text-based languages,http://doi.acm.org/10.1145/169070.169361,22
"Carmony, Lowell A. and Holliday, Robert L.",An Example from Artificial Intelligence for CS1,1993,Teaching: aids examples tricks,http://doi.acm.org/10.1145/169070.169077,2
"Sabin, Roberta Evans and Sabin, Edward P.",Collaborative Learning in an Introductory Computer Science Course,1994,CA: other,http://doi.acm.org/10.1145/191029.191156,9
"Gersting, Judith L.",A Software Engineering \&Ldquo;Frosting\&Rdquo; on a Traditional CS-1 Course,1994,Content: software engineering approaches,http://doi.acm.org/10.1145/191029.191129,9
"Zachary, Joseph L.",Tutorial-based Teaching of Introductory Programming Classes,1994,DSA PS: labs,http://doi.acm.org/10.1145/191029.191085,4
"Waller, William A.",A Framework for CS1 and CS2 Laboratories,1994,DSA PS: labs,http://doi.acm.org/10.1145/191029.191107,4
"Oliver, S. Ron and Dalbey, John",A Software Development Process Laboratory for CS1 and CS2,1994,DSA PS: labs,http://doi.acm.org/10.1145/191029.191097,13
"Thweatt, Mack",CSI Closed Lab vs. Open Lab Experiment,1994,DSA PS: labs,http://doi.acm.org/10.1145/191029.191064,19
"Meter, Glenn and Miller, Philip","Engaging Students and Teaching Modern Concepts: Literate, Situated, Object-oriented Programming",1994,DSA: general,http://doi.acm.org/10.1145/191029.191161,4
"Decker, Rick and Hirshfield, Stuart",The Top 10 Reasons Why Object-oriented Programming Can'T Be Taught in CS 1,1994,FLP: specific paradigms,http://doi.acm.org/10.1145/191029.191054,28
"Pattis, Richard E.",Teaching EBNF First in CS 1,1994,Teaching: aids examples tricks,http://doi.acm.org/10.1145/191029.191155,4
"Calloni, Ben A. and Bagert, Donald J.",ICONIC Programming in BACCII vs. Textual Programming: Which is a Better Learning Environment?,1994,Tools: visualization,http://doi.acm.org/10.1145/191029.191103,9
"Astrachan, Owen and Reed, David",AAA and CS 1: The Applied Apprenticeship Approach to CS 1,1995,CA: other,http://doi.acm.org/10.1145/199688.199694,24
"Parker, David L.",Structured Design for CS1,1995,Content: software engineering approaches,http://doi.acm.org/10.1145/199688.199810,3
"Willshire, Mary Jane","Old Dogs, New Tricks",1995,FLP: specific paradigms,http://doi.acm.org/10.1145/199688.199771,1
"Wick, Michael R.",On Using C++ and Object-orientation in CS1: The Message is Still More Important Than the Medium,1995,FLP: specific text-based languages,http://doi.acm.org/10.1145/199688.199840,6
"Herrmann, Nira and Popyack, Jeffrey L.",Creating an Authentic Learning Experience in Introductory Programming Courses,1995,LA: assessment: authentic assessment,http://doi.acm.org/10.1145/199688.199780,6
"Schorsch, Tom","CAP: An Automated Self-assessment Tool to Check Pascal Programs for Syntax, Logic and Style Errors",1995,LA: assessment: automatic tutoring and assessment systems,http://doi.acm.org/10.1145/199688.199769,17
"Roberts, Eric and Lilly, John and Rollins, Bryan",Using Undergraduates As Teaching Assistants in Introductory Programming Courses: An Update on the Stanford Experience,1995,Teaching: other: teaching assistants and mentors,http://doi.acm.org/10.1145/199688.199716,25
"Roberts, Eric S.",Loop Exits and Structured Programming: Reopening the Debate,1995,Teaching: specific topics (arrays recursion etc),http://doi.acm.org/10.1145/199688.199815,7
"Roberts, Eric S.",A C-based Graphics Library for CS1,1995,Tools: libraries etc,http://doi.acm.org/10.1145/199688.199767,21
"Fekete, Alan and Greening, Antony",Designing Closed Laboratories for a Computer Science Course,1996,DSA PS: labs,http://doi.acm.org/10.1145/236452.236559,6
"McGill, Tanya and Hobbs, Valerie",A Supplementary Package for Distance Education Students Studying Introductory Programming,1996,"DSA PS: online, remote or MOOC delivery, DSA PS: online remote or MOOC delivery",http://doi.acm.org/10.1145/236452.236512,1
"Adams, Joel C.",Object-centered Design: A Five-phase Introduction to Object-oriented Programming in CS1\&Ndash;2,1996,FLP: specific paradigms,http://doi.acm.org/10.1145/236452.236513,2
"K\""{o}lling, Michael and Rosenberg, John",Blue\&Mdash;a Language for Teaching Object-oriented Programming,1996,FLP: specific text-based languages,http://doi.acm.org/10.1145/236452.236537,19
"Bareiss, Catherine C.",A Semester Project for CS1,1996,Teaching: model problems and examples,http://doi.acm.org/10.1145/236452.236562,7
"Barrett, Martin L.",Emphasizing Design in CS1,1996,Teaching: other: focus on documentation or requirements or specifications or design,http://doi.acm.org/10.1145/236452.236563,4
"Walker, Henry M.",Collaborative Learning: A Case Study for CS1 at Grinnell College and Austin,1997,CA: other,http://doi.acm.org/10.1145/268084.268164,19
"Holmes, Goefrey and Smith, Tony C.",Adding Some Spice to CS1 Curricula,1997,Content: other: breadth-first or depth-first CS1,http://doi.acm.org/10.1145/268084.268163,9
"Hilburn, Thomas B. and Towhidnejad, Massood",Doing Quality Work: The Role of Software Process Definition in the Computer Science Curriculum,1997,Content: software engineering approaches,http://doi.acm.org/10.1145/268084.268193,7
"Pargas, Roy P. and Lundy, Joe C. and Underwood, John N.",Tournament Play in CS1,1997,Teaching: model problems and examples,http://doi.acm.org/10.1145/268084.268166,8
"Fell, Harriet J. and Proulx, Viera K.",Exploring Martian Planetary Images: C++ Exercises for CS1,1997,Teaching: model problems and examples,http://doi.acm.org/10.1145/268084.268093,21
"Zachary, Joseph L.","The Gestalt of Scientific Programming: Problem, Model, Method, Implementation, Assessment",1997,Teaching: model problems and examples,http://doi.acm.org/10.1145/268084.268173,4
"Nebash, Bohdan and Feldman, Michael B.",Using HTML Linking to Help Novice Programmers to Reuse Components,1997,Teaching: other,http://doi.acm.org/10.1145/268084.268204,0
"Schulze, Kay G. and Grodzinsky, Frances S.",Teaching Ethical and Social Issues in CS1 and CS2,1997,Teaching: other: ethical and societal issues,http://doi.acm.org/10.1145/268084.268087,2
"Hou, Lily and Tomayko, James",Applying the Personal Software Process in CS1: An Experiment,1998,Content: software engineering approaches,http://doi.acm.org/10.1145/273133.274322,3
"Tjaden, Bunny J.",Do Lab Modules in CS Actually Help Students?: An Empirical Study,1998,DSA PS: labs,http://doi.acm.org/10.1145/273133.274313,0
"Mercuri, Rebecca and Herrmann, Nira and Popyack, Jeffrey",Using HTML and JavaScript in Introductory Programming Courses,1998,FLP: specific text-based languages,http://doi.acm.org/10.1145/273133.273754,10
"Wu, Cheng-Chih and Dale, Nell B. and Bethel, Lowell J.",Conceptual Models and Cognitive Learning Styles in Teaching Recursion,1998,LA: learning: conceptual or cognitive issues (load - mental models - notional machines),http://doi.acm.org/10.1145/273133.274315,24
"Adams, Joel C.",Chance-It: An Object-oriented Capstone Project for CS-1,1998,Teaching: model problems and examples,http://doi.acm.org/10.1145/273133.273140,20
"Astrachan, Owen and Rodger, Susan H.","Animation, Visualization, and Interaction in CS 1 Assignments",1998,Teaching: model problems and examples,http://doi.acm.org/10.1145/273133.274321,27
"Reed, David",Incorporating Problem-solving Patterns in CS1,1998,Teaching: other: problem solving first,http://doi.acm.org/10.1145/273133.273137,7
"Sangwan, Raghvinder S. and Korsh, James F. and LaFollette,Jr., Paul S.",A System for Program Visualization in the Classroom,1998,Tools: visualization,http://doi.acm.org/10.1145/273133.274311,6
"Carrasquel, Jacobo","Teaching CS1 On-line: The Good, the Bad, and the Ugly",1999,"DSA PS: online, remote or MOOC delivery, DSA PS: online remote or MOOC delivery",http://doi.acm.org/10.1145/299649.299758,6
"Woodworth, Pat and Dann, Wanda",Integrating Console and Event-driven Models in CS1,1999,FLP: specific paradigms,http://doi.acm.org/10.1145/299649.299720,7
"Ginat, David and Shifroni, Eyal",Teaching Recursion in a Procedural Environment\&Mdash;How Much Should We Emphasize the Computing Model?,1999,LA: learning: conceptual or cognitive issues (load - mental models - notional machines),http://doi.acm.org/10.1145/299649.299718,21
"Stone, Don C. and Bergmann, Seth and Baliga, Ganesh and Berman, A. Michael and Schmalzel, John","A CS1 Maze Lab, Using Joysticks and MIPPETs",1999,Teaching: model problems and examples,http://doi.acm.org/10.1145/299649.299743,4
"Jim{\'e}nez-Peris, Ricardo and Khuri, Sami and Pati\~{n}o-Mart\'{\i}nez, Marta",Adding Breadth to CS1 and CS2 Courses Through Visual and Interactive Programming Projects,1999,Teaching: model problems and examples,http://doi.acm.org/10.1145/299649.299774,18
"Ziegler, Uta and Crews, Thad",An Integrated Program Development Tool for Teaching and Learning How to Program,1999,Tools: editors apis etc,http://doi.acm.org/10.1145/299649.299786,8
"Warford, J. Stanley",BlackBox: A New Object-oriented Framework for CS1/CS2,1999,Tools: editors apis etc,http://doi.acm.org/10.1145/299649.299785,4
"Cheatham, Thomas J.",A Web-based Lab Manual for CS 1: An Experiment,2000,"DSA PS: online, remote or MOOC delivery, DSA PS: online remote or MOOC delivery",http://doi.acm.org/10.1145/330908.331828,0
"Lewis, John",Myths About Object-orientation and Its Pedagogy,2000,FLP: specific paradigms,http://doi.acm.org/10.1145/330908.331863,14
"Vandenberg, Scott and Wollowski, Michael",Introducing Computer Science Using a Breadth-first Approach and Functional Programming,2000,FLP: specific paradigms,http://doi.acm.org/10.1145/330908.331851,7
"Reges, Stuart",Conservatively Radical Java in CS1,2000,FLP: specific text-based languages,http://doi.acm.org/10.1145/330908.331821,17
"Buck, Duane and Stucki, David J.",Design Early Considered Harmful: Graduated Exposure to Complexity and Structure Based on Levels of Cognitive Development,2000,LA: learning: conceptual or cognitive issues (load - mental models - notional machines),http://doi.acm.org/10.1145/330908.331817,43
"George, Carlisle E.",EROSI\&Mdash;Visualising Recursion and Discovering New Errors,2000,LA: learning: conceptual or cognitive issues (load - mental models - notional machines),http://doi.acm.org/10.1145/330908.331875,15
"Tesser, Herbert and Al-Haddad, Hisham and Anderson, Gary",Instrumentation: A Multi-science Integrated Sequence,2000,Teaching: aids examples tricks,http://doi.acm.org/10.1145/330908.331861,3
"Wick, Michael R.",Kaleidoscope: Using Design Patterns in CS1,2001,Content: upper level topics in CS1,http://doi.acm.org/10.1145/364447.364596,6
"Lischner, Ray",Explorations: Structured Labs for First-time Programmers,2001,DSA PS: labs,http://doi.acm.org/10.1145/364447.364571,10
"Preston, Jon A. and Wilson, Laura",Offering CS1 On-line Reducing Campus Resource Demand While Improving the Learning Environment,2001,"DSA PS: online, remote or MOOC delivery, DSA PS: online remote or MOOC delivery",http://doi.acm.org/10.1145/364447.364618,4
"Veal, D. and Maj, S. P. and Duley, Rick",Assessing \&Ldquo;Hands on\&Rdquo; Skills on CS1 Computer \&Amp; Network Technology Units,2001,LA: assessment: authentic assessment,http://doi.acm.org/10.1145/364447.364751,0
"Lister, Raymond",Objectives and Objective Assessment in CS1,2001,LA: assessment: general,http://doi.acm.org/10.1145/364447.364605,20
"Odekirk-Hash, Elizabeth and Zachary, Joseph L.",Automated Feedback on Programs Means Students Need Less Help from Teachers,2001,LA: assessment: other: automatic feedback and/or grading,http://doi.acm.org/10.1145/364447.364537,13
"Wilson, Brenda Cantwell and Shrock, Sharon",Contributing to Success in an Introductory Computer Science Course: A Study of Twelve Factors,2001,Students: predicting and measuring success,http://doi.acm.org/10.1145/364447.364581,116
"Applin, Anne Gates",Second Language Acquisition and CS1,2001,Teaching: aids examples tricks,http://doi.acm.org/10.1145/364447.364579,4
"Buck, Duane and Stucki, David J.",JKarelRobot: A Case Study in Supporting Levels of Cognitive Development in the Computer Science Curriculum,2001,Teaching: hardware (robots etc),http://doi.acm.org/10.1145/364447.364529,27
"Becker, Byron Weber",Teaching CS1 with Karel the Robot in Java,2001,Teaching: hardware (robots etc),http://doi.acm.org/10.1145/364447.364536,25
"Wolz, Ursula",Teaching Design and Project Management with Lego RCX Robots,2001,Teaching: hardware (robots etc),http://doi.acm.org/10.1145/364447.364551,19
"Gegg-Harrison, Timothy S.",Ancient Egyptian Numbers: A CS-complete Example,2001,Teaching: model problems and examples,http://doi.acm.org/10.1145/364447.364598,2
"Anderson, Richard and Dickey, Martin and Perkins, Hal",Experiences with Tutored Video Instruction for Introductory Programming Courses,2001,Teaching: video,http://doi.acm.org/10.1145/364447.364619,5
"Bruce, Kim B. and Danyluk, Andrea and Murtagh, Thomas",A Library to Support a Graphics-based Object-first Approach to CS 1,2001,Tools: libraries etc,http://doi.acm.org/10.1145/364447.364527,29
"Koffman, Elliot and Wolz, Ursula",A Simple Java Package for GUI-like Interactivity,2001,Tools: libraries etc,http://doi.acm.org/10.1145/364447.364528,6
"McDowell, Charlie and Werner, Linda and Bullock, Heather and Fernald, Julian",The Effects of Pair-programming on Performance in an Introductory Programming Course,2002,CA: pair programming,http://doi.acm.org/10.1145/563340.563353,103
"Vasiga, Troy",What Comes After CS 1 + 2: A Deep Breadth Before Specializing,2002,DSA: How CS1 relates to CS0 or CS2,http://doi.acm.org/10.1145/563340.563350,1
"Roumani, Hamzeh",Design Guidelines for the Lab Component of Objects-first CS1,2002,FLP: specific paradigms,http://doi.acm.org/10.1145/563340.563426,14
"Califf, Mary Elaine and Goodwin, Mary",Testing Skills and Knowledge: Introducing a Laboratory Exam in CS1,2002,LA: assessment: exams,http://doi.acm.org/10.1145/563340.563425,9
"Thomas, Lynda and Ratcliffe, Mark and Woodbury, John and Jarman, Emma",Learning Styles and Performance in the Introductory Programming Sequence,2002,LA: learning: learning styles,http://doi.acm.org/10.1145/563340.563352,44
"Comer, James and Roggio, Robert",Teaching a Java-based CS1 Course in an Academically-diverse Environment,2002,Students: non-majors,http://doi.acm.org/10.1145/563340.563396,4
"Barnes, David J.",Teaching Introductory Java Through LEGO MINDSTORMS Models,2002,Teaching: hardware (robots etc),http://doi.acm.org/10.1145/563340.563397,21
"Thomas, Lynda and Ratcliffe, Mark and Robertson, Ann",Code Warriors and Code-a-phobes: A Study in Attitude and Pair Programming,2003,CA: pair programming,http://doi.acm.org/10.1145/611892.612007,37
"Nagappan, Nachiappan and Williams, Laurie and Ferzli, Miriam and Wiebe, Eric and Yang, Kai and Miller, Carol and Balik, Suzanne",Improving the CS1 Experience with Pair Programming,2003,CA: pair programming,http://doi.acm.org/10.1145/611892.612006,90
"Adams, Joel and Frens, Jeremy",Object Centered Design for Java: Teaching OOD in CS-1,2003,Content: upper level topics in CS1,http://doi.acm.org/10.1145/611892.611986,5
"Clancy, Michael and Titterton, Nate and Ryan, Clint and Slotta, Jim and Linn, Marcia","New Roles for Students, Instructors, and Computers in a Lab-based Introductory Programming Course",2003,DSA PS: labs,http://doi.acm.org/10.1145/611892.611951,8
"Woit, Denise and Mason, David",Effectiveness of Online Assessment,2003,"DSA PS: online, remote or MOOC delivery, DSA PS: online remote or MOOC delivery",http://doi.acm.org/10.1145/611892.611952,18
"Herrmann, Nira and Popyack, Jeffrey L. and Char, Bruce and Zoski, Paul and Cera, Christopher D. and Lass, Robert N. and Nanjappa, Aparna",Redesigning Introductory Computer Programming Using Multi-level Online Modules for a Mixed Audience,2003,"DSA PS: online, remote or MOOC delivery, DSA PS: online remote or MOOC delivery",http://doi.acm.org/10.1145/611892.611967,11
"Phillips, Andrew T. and Stevenson, Daniel E. and Wick, Michael R.",Implementing CC2001: A Breadth-first Introductory Course for a Just-in-time Curriculum Design,2003,DSA: dealing with ACM model curricula,http://doi.acm.org/10.1145/611892.611978,9
"Powers, Kris D.",Breadth-also: A Rationale and Implementation,2003,DSA: dealing with ACM model curricula,http://doi.acm.org/10.1145/611892.611979,5
"Cooper, Stephen and Dann, Wanda and Pausch, Randy",Teaching Objects-first in Introductory Computer Science,2003,FLP: specific paradigms,http://doi.acm.org/10.1145/611892.611966,121
"Sanders, Dean and Dorn, Brian",Jeroo: A Tool for Introducing Object-oriented Programming,2003,FLP: specific text-based languages,http://doi.acm.org/10.1145/611892.611968,26
"Lister, Raymond and Leaney, John","Introductory Programming, Criterion-referencing, and Bloom",2003,LA: assessment: general,http://doi.acm.org/10.1145/611892.611954,38
"Hristova, Maria and Misra, Ananya and Rutter, Megan and Mercuri, Rebecca",Identifying and Correcting Java Programming Errors for Introductory Computer Science Students,2003,LA: learning: errors,http://doi.acm.org/10.1145/611892.611956,44
"Lane, H. Chad and VanLehn, Kurt",Coached Program Planning: Dialogue-based Support for Novice Program Design,2003,LA: learning: reading or writing or tracing or debugging or testing,http://doi.acm.org/10.1145/611892.611955,12
"Shannon, Christine",Another Breadth-first Approach to CS I Using Python,2003,Students: non-majors,http://doi.acm.org/10.1145/611892.611980,23
"Giguette, Ray",Pre-games: Games Designed to Introduce CS1 and CS2 Programming Assignments,2003,Teaching: aids examples tricks,http://doi.acm.org/10.1145/611892.611990,15
"Fagin, Barry and Merkle, Laurence",Measuring the Effectiveness of Robots in Teaching Computer Science,2003,Teaching: hardware (robots etc),http://doi.acm.org/10.1145/611892.611994,29
"Burger, Kevin R.",Teaching Two-dimensional Array Concepts in Java with Image Processing Examples,2003,Teaching: model problems and examples,http://doi.acm.org/10.1145/611892.611970,15
"Bouvier, Dennis J.",Pilot Study: Living Flowcharts in an Introduction to Programming Course,2003,Teaching: other: flowcharting,http://doi.acm.org/10.1145/611892.611991,2
"Reges, Stuart",Using Undergraduates As Teaching Assistants at a State University,2003,Teaching: other: teaching assistants and mentors,http://doi.acm.org/10.1145/611892.611943,12
"Lucas, Jeff and Naps, Thomas L. and R\""{o}\ssling, Guido",VisualGraph: A Graph Class Designed for Both Undergraduate Students and Educators,2003,Tools: visualization,http://doi.acm.org/10.1145/611892.611960,5
"Burch, Carl and Ziegler, Lynn",Science of Computing Suite (SOCS): Resources for a Breadth-first Introduction,2004,Content: other: breadth-first or depth-first CS1,http://doi.acm.org/10.1145/971300.971447,5
"Herrmann, Nira and Popyack, Jeffrey L. and Char, Bruce and Zoski, Paul",Assessment of a Course Redesign: Introductory Computer Programming Using Online Modules,2004,"DSA PS: online, remote or MOOC delivery, DSA PS: online remote or MOOC delivery",http://doi.acm.org/10.1145/971300.971326,6
